,tipo,sazonalidade,nutrientes
Alface,hortaliça,ano todo,"['fibras', 'vitamina A', 'vitamina K']"
Mandioca,raiz,ano todo,"['carboidratos', 'fibras', 'vitamina B6']"
Tomate,fruta,verão,"['licopeno', 'vitamina C', 'potássio']"
Repolho,hortaliça,outono e inverno,"['vitamina C', 'fibras', 'antioxidantes']"
Batata,tubérculo,ano todo,"['carboidratos', 'potássio', 'vitamina B6']"
Cebola,hortaliça,ano todo,"['antioxidantes', 'vitamina C', 'fibras']"
Couve,hortaliça,inverno,"['ferro', 'vitamina K', 'fibras']"
Chuchu,hortaliça,ano todo,"['fibras', 'potássio', 'vitamina C']"
Morango,fruta,primavera e verão,"['vitamina C', 'antioxidantes', 'fibras']"
Pimentão,hortaliça,verão,"['vitamina C', 'carotenóides', 'antioxidantes']"
Brócolis,hortaliça,inverno,"['vitamina K', 'vitamina C', 'fibras']"
Abóbora,hortaliça,outono,"['betacaroteno', 'vitamina A', 'fibras']"
Berinjela,hortaliça,verão,"['fibras', 'antioxidantes', 'vitamina B6']"
Beterraba,raiz,ano todo,"['ferro', 'ácido fólico', 'antioxidantes']"
Pepino,hortaliça,verão,"['fibras', 'vitamina K', 'potássio']"
Cenoura,raiz,ano todo,"['betacaroteno', 'vitamina A', 'fibras']"
Quiabo,hortaliça,verão,"['fibras', 'vitamina C', 'antioxidantes']"
Agrião,hortaliça,inverno,"['vitamina K', 'ferro', 'antioxidantes']"
Jiló,hortaliça,verão,"['antioxidantes', 'vitamina B6', 'fibras']"
Gengibre,raiz,ano todo,"['antioxidantes', 'anti-inflamatórios', 'vitamina C']"
Abacate,fruta,verão,"['gorduras saudáveis', 'potássio', 'vitamina E']"
Goiaba,fruta,verão,"['vitamina C', 'licopeno', 'fibras']"
Banana,fruta,ano todo,"['potássio', 'vitamina B6', 'fibras']"
Limão,fruta,ano todo,"['vitamina C', 'antioxidantes', 'fibras']"
Tangerina,fruta,inverno,"['vitamina C', 'fibras', 'antioxidantes']"
Maracujá,fruta,verão,"['fibras', 'vitamina C', 'antioxidantes']"
Manga,fruta,verão,"['vitamina A', 'fibras', 'antioxidantes']"
Lichia,fruta,verão,"['vitamina C', 'antioxidantes', 'fibras']"
Uva,fruta,outono,"['antioxidantes', 'vitamina C', 'fibras']"
Atemóia,fruta,verão,"['vitamina C', 'potássio', 'fibras']"
Cajamanga,fruta,verão,"['vitamina C', 'antioxidantes', 'fibras']"
Graviola,fruta,verão,"['fibras', 'vitamina C', 'potássio']"
Coco,fruta,ano todo,"['gorduras saudáveis', 'potássio', 'fibras']"
Pitaia,fruta,verão,"['antioxidantes', 'vitamina C', 'fibras']"
Mamão,fruta,ano todo,"['vitamina A', 'fibras', 'antioxidantes']"
